studentnummer;persoonsgebonden_nummer;selectiejaar;opleiding;instellingscode;geslacht;leeftijd;herkomst;hoogste_vooropleiding;gem_eindcijfer_vo;motivatiescore;cv_score;interview_score;totaalscore;rangorde;selectie_uitkomst
10163;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & techniek;7.0;3.4;4.5;4.2;4.02;255;niet geselecteerd
10164;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;8.1;4.25;4.05;3.88;4.03;254;niet geselecteerd
10165;;2021;B Gezondheidswetenschappen;DEMO;man;21;Nederland;hbo-propedeuse;6.6;5.6;3.25;5.47;5.07;142;niet geselecteerd
10166;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & techniek;7.9;1.75;2.1;1.67;1.78;340;niet geselecteerd
10167;10167.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;6.9;4.95;5.65;6.8;6.02;56;geselecteerd
10168;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;westerse achtergrond;vwo profiel economie & maatschappij;6.9;3.15;4.7;4.55;4.16;238;niet geselecteerd
10169;;2021;B Gezondheidswetenschappen;DEMO;man;21;Nederland;vwo profiel economie & maatschappij;6.8;3.6;4.95;4.1;4.12;244;niet geselecteerd
10170;10170.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & techniek;7.8;7.2;7.05;7.32;7.23;9;geselecteerd
10171;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;overig niet-westers;vwo profiel cultuur & maatschappij;6.6;5.0;5.25;5.6;5.35;116;niet geselecteerd
10172;;2021;B Gezondheidswetenschappen;DEMO;man;18;Suriname/Antillen;vwo profiel natuur & gezondheid;7.1;4.6;4.25;5.85;5.15;136;niet geselecteerd
10173;10173.0;2021;B Gezondheidswetenschappen;DEMO;man;18;Suriname/Antillen;vwo profiel natuur & gezondheid;6.2;6.6;6.3;6.07;6.28;42;geselecteerd
10174;10174.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel economie & maatschappij;7.2;5.0;6.6;7.28;6.46;33;geselecteerd
10175;;2021;B Gezondheidswetenschappen;DEMO;man;21;Nederland;vwo profiel natuur & gezondheid;6.6;4.75;4.7;3.68;4.2;236;niet geselecteerd
10176;10176.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Turkije;vwo profiel natuur & gezondheid;7.6;7.85;7.7;8.23;8.01;3;geselecteerd
10177;10177.0;2021;B Gezondheidswetenschappen;DEMO;man;22;Nederland;vwo profiel cultuur & maatschappij;7.2;6.15;5.0;5.97;5.83;74;geselecteerd
10178;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Suriname/Antillen;vwo profiel natuur & gezondheid;7.3;3.2;4.7;3.47;3.64;294;niet geselecteerd
10179;;2021;B Gezondheidswetenschappen;DEMO;vrouw;22;Nederland;vwo profiel natuur & gezondheid;7.2;5.05;4.9;5.17;5.08;140;niet geselecteerd
10180;10180.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;6.8;5.55;6.55;7.0;6.48;31;geselecteerd
10181;;2021;B Gezondheidswetenschappen;DEMO;man;22;Nederland;vwo profiel cultuur & maatschappij;6.6;4.0;4.45;3.52;3.85;277;niet geselecteerd
10182;10182.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;6.9;6.05;5.25;5.47;5.6;97;reserve
10183;;2021;B Gezondheidswetenschappen;DEMO;man;20;Turkije;vwo profiel economie & maatschappij;7.2;4.15;5.5;3.73;4.21;235;niet geselecteerd
10184;;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;anders;6.6;3.05;2.55;1.68;2.26;337;niet geselecteerd
10185;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;6.8;3.9;5.05;4.15;4.26;233;niet geselecteerd
10186;;2021;B Gezondheidswetenschappen;DEMO;man;18;Nederland;vwo profiel cultuur & maatschappij;7.4;3.75;4.55;3.65;3.86;276;niet geselecteerd
10187;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Suriname/Antillen;vwo profiel natuur & gezondheid;7.8;4.65;4.1;3.77;4.1;249;niet geselecteerd
10188;10188.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Marokko;vwo profiel cultuur & maatschappij;5.1;6.45;4.95;6.53;6.19;46;geselecteerd
10189;;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;anders;5.9;5.1;4.8;5.65;5.32;117;niet geselecteerd
10190;10190.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;hbo-propedeuse;7.3;5.05;4.8;6.4;5.68;83;geselecteerd
10191;10191.0;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & gezondheid;7.6;5.85;5.15;5.68;5.62;91;geselecteerd
10192;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel cultuur & maatschappij;6.7;3.95;5.6;4.38;4.5;207;niet geselecteerd
10193;;2021;B Gezondheidswetenschappen;DEMO;man;22;Nederland;vwo profiel natuur & gezondheid;7.6;4.6;3.65;4.5;4.36;222;niet geselecteerd
10194;;2021;B Gezondheidswetenschappen;DEMO;anders;21;overig niet-westers;vwo profiel cultuur & maatschappij;7.5;4.8;3.2;3.87;4.02;256;niet geselecteerd
10195;10195.0;2021;B Gezondheidswetenschappen;DEMO;man;20;Nederland;vwo profiel cultuur & maatschappij;7.4;5.95;6.5;6.57;6.37;39;geselecteerd
10196;;2021;B Gezondheidswetenschappen;DEMO;anders;19;Nederland;vwo profiel natuur & gezondheid;6.7;2.3;2.25;2.57;2.42;335;niet geselecteerd
10197;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Marokko;vwo profiel natuur & gezondheid;6.9;4.65;4.65;3.2;3.92;268;niet geselecteerd
10198;10198.0;2021;B Gezondheidswetenschappen;DEMO;man;17;Nederland;vwo profiel economie & maatschappij;7.2;6.0;6.6;5.23;5.74;79;geselecteerd
10199;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.3;5.35;5.75;4.27;4.89;168;niet geselecteerd
10200;10200.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;westerse achtergrond;vwo profiel natuur & gezondheid;7.4;7.4;6.05;7.35;7.1;11;geselecteerd
10201;;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & techniek;5.8;2.75;4.3;3.77;3.57;300;niet geselecteerd
10202;;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & gezondheid;7.8;4.25;4.45;4.88;4.61;200;niet geselecteerd
10203;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & techniek;7.1;5.35;5.25;4.8;5.06;143;niet geselecteerd
10204;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;6.8;1.75;3.25;3.1;2.72;330;niet geselecteerd
10205;;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & gezondheid;6.9;5.2;5.1;4.8;4.98;155;niet geselecteerd
10206;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;westerse achtergrond;vwo profiel cultuur & maatschappij;6.4;4.55;3.8;5.63;4.94;162;niet geselecteerd
10207;10207.0;2021;B Gezondheidswetenschappen;DEMO;man;20;Nederland;vwo profiel economie & maatschappij;7.6;5.3;5.8;5.3;5.4;110;reserve
10208;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;6.7;4.0;4.2;4.17;4.12;245;niet geselecteerd
10209;10209.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Turkije;vwo profiel natuur & techniek;7.4;7.05;5.6;7.22;6.84;18;geselecteerd
10210;;2021;B Gezondheidswetenschappen;DEMO;man;20;overig niet-westers;vwo profiel natuur & gezondheid;6.8;4.45;3.25;4.72;4.34;225;niet geselecteerd
10211;;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel economie & maatschappij;6.3;4.55;3.9;3.88;4.08;251;niet geselecteerd
10212;;2021;B Gezondheidswetenschappen;DEMO;man;21;Nederland;vwo profiel natuur & gezondheid;7.1;5.1;5.2;4.98;5.06;144;niet geselecteerd
10213;10213.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Marokko;anders;6.9;4.8;6.6;5.88;5.7;81;geselecteerd
10214;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel cultuur & maatschappij;6.3;4.0;3.9;3.8;3.88;273;niet geselecteerd
10215;;2021;B Gezondheidswetenschappen;DEMO;vrouw;22;Nederland;vwo profiel cultuur & maatschappij;5.7;4.75;4.25;2.92;3.74;288;niet geselecteerd
10216;10216.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;22;Nederland;vwo profiel cultuur & maatschappij;7.1;5.2;6.45;5.97;5.84;72;geselecteerd
10217;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;6.5;4.1;5.45;4.6;4.62;199;niet geselecteerd
10218;10218.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;westerse achtergrond;vwo profiel economie & maatschappij;6.9;8.65;5.2;6.73;7.0;16;geselecteerd
10219;10219.0;2021;B Gezondheidswetenschappen;DEMO;man;17;Nederland;vwo profiel natuur & techniek;7.9;5.95;6.8;7.18;6.74;20;geselecteerd
10220;;2021;B Gezondheidswetenschappen;DEMO;man;21;overig niet-westers;vwo profiel cultuur & maatschappij;7.3;4.0;4.9;4.45;4.4;219;niet geselecteerd
10221;;2021;B Gezondheidswetenschappen;DEMO;man;21;Nederland;vwo profiel cultuur & maatschappij;7.2;3.95;5.1;4.52;4.46;215;niet geselecteerd
10222;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;5.7;5.55;4.55;5.27;5.21;130;niet geselecteerd
10223;;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;hbo-propedeuse;6.3;5.6;4.05;4.9;4.94;163;niet geselecteerd
10224;10224.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;7.5;6.0;5.5;5.78;5.79;77;geselecteerd
10225;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel economie & maatschappij;6.8;5.85;4.35;4.73;4.99;154;niet geselecteerd
10226;10226.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Suriname/Antillen;vwo profiel natuur & techniek;7.2;5.95;6.7;5.87;6.06;50;geselecteerd
10227;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;6.7;5.2;5.0;4.93;5.03;149;niet geselecteerd
10228;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;7.6;1.8;2.75;2.37;2.28;336;niet geselecteerd
10229;;2021;B Gezondheidswetenschappen;DEMO;man;21;westerse achtergrond;vwo profiel cultuur & maatschappij;6.3;4.4;4.95;3.68;4.15;241;niet geselecteerd
10230;10230.0;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel economie & maatschappij;6.6;7.2;5.0;7.17;6.74;21;geselecteerd
10231;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;overig niet-westers;vwo profiel cultuur & maatschappij;6.2;4.8;4.35;5.28;4.95;161;niet geselecteerd
10232;;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Suriname/Antillen;vwo profiel cultuur & maatschappij;7.1;4.3;3.85;4.15;4.14;242;niet geselecteerd
10233;10233.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & techniek;7.4;8.95;8.3;7.15;7.92;4;geselecteerd
10234;10234.0;2021;B Gezondheidswetenschappen;DEMO;man;18;overig niet-westers;vwo profiel cultuur & maatschappij;6.7;7.1;6.8;6.45;6.72;23;geselecteerd
10235;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;6.6;4.65;4.1;2.98;3.7;291;niet geselecteerd
10236;10236.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;22;Nederland;vwo profiel natuur & gezondheid;7.1;5.95;5.75;5.2;5.54;100;reserve
10237;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;overig niet-westers;vwo profiel cultuur & maatschappij;8.4;5.2;4.75;5.27;5.14;138;niet geselecteerd
10238;;2021;B Gezondheidswetenschappen;DEMO;man;21;Nederland;vwo profiel natuur & techniek;5.7;4.65;3.95;4.58;4.47;213;niet geselecteerd
10239;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel economie & maatschappij;6.6;4.1;3.15;3.98;3.85;278;niet geselecteerd
10240;10240.0;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel cultuur & maatschappij;7.3;6.35;5.0;5.8;5.8;76;geselecteerd
10241;;2021;B Gezondheidswetenschappen;DEMO;man;20;overig niet-westers;hbo-propedeuse;6.6;5.25;4.85;4.97;5.03;150;niet geselecteerd
10242;;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel economie & maatschappij;6.6;5.55;5.25;4.6;5.01;152;niet geselecteerd
10243;10243.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Turkije;hbo-propedeuse;6.6;6.55;6.2;6.95;6.68;24;geselecteerd
10244;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;6.9;4.45;5.05;4.78;4.74;182;niet geselecteerd
10245;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Turkije;vwo profiel cultuur & maatschappij;6.3;3.65;4.3;3.72;3.82;280;niet geselecteerd
10246;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;anders;6.1;4.95;5.5;4.92;5.04;148;niet geselecteerd
10247;10247.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel economie & maatschappij;7.6;5.6;6.15;5.45;5.64;88;geselecteerd
10248;10248.0;2021;B Gezondheidswetenschappen;DEMO;man;22;Nederland;vwo profiel natuur & gezondheid;7.7;7.2;6.15;6.37;6.58;27;geselecteerd
10249;10249.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;overig niet-westers;vwo profiel natuur & techniek;6.8;6.7;5.55;5.53;5.89;69;geselecteerd
10250;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;7.2;4.45;3.5;3.05;3.56;301;niet geselecteerd
10251;;2021;B Gezondheidswetenschappen;DEMO;man;18;overig niet-westers;vwo profiel natuur & techniek;7.2;4.0;2.8;3.65;3.58;299;niet geselecteerd
10252;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel economie & maatschappij;7.3;3.5;4.35;4.17;4.0;258;niet geselecteerd
10253;;2021;B Gezondheidswetenschappen;DEMO;vrouw;22;Nederland;vwo profiel economie & maatschappij;6.2;3.45;4.35;3.95;3.88;274;niet geselecteerd
10254;10254.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;westerse achtergrond;vwo profiel natuur & gezondheid;7.9;5.8;4.35;5.5;5.36;115;reserve
10255;;2021;B Gezondheidswetenschappen;DEMO;man;17;Marokko;vwo profiel cultuur & maatschappij;6.5;2.8;3.6;3.57;3.34;309;niet geselecteerd
10256;10256.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & techniek;7.5;5.85;6.2;5.85;5.92;66;geselecteerd
10257;10257.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.4;5.5;6.05;6.33;6.02;57;geselecteerd
10258;;2021;B Gezondheidswetenschappen;DEMO;man;18;westerse achtergrond;vwo profiel cultuur & maatschappij;6.2;4.3;4.65;5.13;4.78;177;niet geselecteerd
10259;;2021;B Gezondheidswetenschappen;DEMO;man;18;Nederland;vwo profiel cultuur & maatschappij;7.2;4.0;4.4;3.02;3.59;298;niet geselecteerd
10260;10260.0;2021;B Gezondheidswetenschappen;DEMO;man;20;Nederland;vwo profiel natuur & gezondheid;7.9;4.95;5.7;5.95;5.6;98;reserve
10261;10261.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel economie & maatschappij;8.1;6.65;5.15;5.22;5.64;89;geselecteerd
10262;;2021;B Gezondheidswetenschappen;DEMO;man;19;Suriname/Antillen;vwo profiel natuur & gezondheid;7.6;4.8;4.6;4.9;4.81;175;niet geselecteerd
10263;;2021;B Gezondheidswetenschappen;DEMO;anders;18;Turkije;vwo profiel cultuur & maatschappij;6.7;6.25;4.95;4.7;5.22;128;niet geselecteerd
10264;;2021;B Gezondheidswetenschappen;DEMO;man;21;Nederland;vwo profiel natuur & gezondheid;7.1;6.15;5.3;4.2;5.01;153;niet geselecteerd
10265;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Suriname/Antillen;vwo profiel cultuur & maatschappij;7.7;3.8;3.7;3.85;3.8;282;niet geselecteerd
10266;;2021;B Gezondheidswetenschappen;DEMO;man;21;Nederland;vwo profiel natuur & gezondheid;8.3;3.85;5.1;3.9;4.12;246;niet geselecteerd
10267;10267.0;2021;B Gezondheidswetenschappen;DEMO;man;23;Nederland;hbo-propedeuse;6.8;6.3;6.8;5.8;6.15;48;geselecteerd
10268;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & techniek;7.2;5.3;3.4;4.07;4.3;228;niet geselecteerd
10269;10269.0;2021;B Gezondheidswetenschappen;DEMO;man;20;Nederland;vwo profiel economie & maatschappij;7.2;4.75;6.25;6.6;5.98;59;geselecteerd
10270;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;westerse achtergrond;vwo profiel natuur & gezondheid;7.6;3.5;5.2;3.33;3.76;284;niet geselecteerd
10271;10271.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Turkije;vwo profiel natuur & gezondheid;7.2;7.35;6.2;6.62;6.76;19;geselecteerd
10272;10272.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;22;Nederland;vwo profiel cultuur & maatschappij;6.5;6.75;5.45;5.67;5.95;64;geselecteerd
10273;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;westerse achtergrond;vwo profiel natuur & gezondheid;6.8;5.55;6.0;4.82;5.28;120;niet geselecteerd
10274;;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Turkije;vwo profiel economie & maatschappij;6.2;4.6;6.25;4.22;4.74;183;niet geselecteerd
10275;;2021;B Gezondheidswetenschappen;DEMO;man;21;Marokko;vwo profiel natuur & gezondheid;7.7;2.9;2.85;3.23;3.06;319;niet geselecteerd
10276;10276.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;7.3;6.1;5.55;7.03;6.46;34;geselecteerd
10277;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;7.7;5.3;4.65;4.47;4.76;181;niet geselecteerd
10278;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;6.2;3.05;2.1;3.93;3.3;313;niet geselecteerd
10279;10279.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel economie & maatschappij;6.7;5.4;5.5;5.43;5.44;108;reserve
10280;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;hbo-propedeuse;6.5;3.45;4.1;3.67;3.69;293;niet geselecteerd
10281;10281.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & techniek;7.3;4.65;6.05;5.57;5.39;112;reserve
10282;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel cultuur & maatschappij;6.5;5.15;4.8;5.6;5.3;119;niet geselecteerd
10283;10283.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel economie & maatschappij;7.5;7.9;8.6;7.47;7.82;5;geselecteerd
10284;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Marokko;vwo profiel natuur & gezondheid;6.7;2.5;1.7;1.47;1.82;339;niet geselecteerd
10285;10285.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & techniek;5.9;6.0;4.25;5.92;5.61;94;geselecteerd
10286;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;6.5;3.9;5.2;4.55;4.48;211;niet geselecteerd
10287;10287.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.0;5.3;5.0;5.58;5.38;113;reserve
10288;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;7.5;5.0;4.3;4.77;4.74;184;niet geselecteerd
10289;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel cultuur & maatschappij;5.5;4.3;6.5;4.95;5.06;145;niet geselecteerd
10290;;2021;B Gezondheidswetenschappen;DEMO;man;20;Nederland;vwo profiel cultuur & maatschappij;6.8;4.5;5.05;4.65;4.68;191;niet geselecteerd
10291;;2021;B Gezondheidswetenschappen;DEMO;man;23;Suriname/Antillen;vwo profiel economie & maatschappij;7.4;4.75;5.1;5.08;4.98;156;niet geselecteerd
10292;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel economie & maatschappij;7.4;4.1;4.2;3.87;4.0;259;niet geselecteerd
10293;;2021;B Gezondheidswetenschappen;DEMO;man;21;Nederland;vwo profiel natuur & gezondheid;7.1;3.1;2.6;3.48;3.19;318;niet geselecteerd
10294;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;anders;7.1;3.85;3.1;3.43;3.49;303;niet geselecteerd
10295;10295.0;2021;B Gezondheidswetenschappen;DEMO;man;21;westerse achtergrond;vwo profiel economie & maatschappij;6.7;6.45;5.55;5.75;5.92;67;geselecteerd
10296;10296.0;2021;B Gezondheidswetenschappen;DEMO;man;20;overig niet-westers;vwo profiel cultuur & maatschappij;7.1;5.55;6.0;6.2;5.96;61;geselecteerd
10297;10297.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;overig niet-westers;vwo profiel natuur & gezondheid;7.1;5.8;6.05;5.33;5.62;92;geselecteerd
10298;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel cultuur & maatschappij;6.9;3.8;4.1;3.9;3.91;269;niet geselecteerd
10299;10299.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;8.5;6.4;5.25;6.82;6.38;38;geselecteerd
10300;;2021;B Gezondheidswetenschappen;DEMO;man;18;Nederland;vwo profiel economie & maatschappij;7.2;4.6;4.5;4.6;4.58;203;niet geselecteerd
10301;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;overig niet-westers;vwo profiel cultuur & maatschappij;7.4;3.7;5.3;3.48;3.91;270;niet geselecteerd
10302;;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel natuur & gezondheid;7.1;4.2;6.2;4.37;4.69;188;niet geselecteerd
10303;;2021;B Gezondheidswetenschappen;DEMO;man;20;Nederland;vwo profiel natuur & gezondheid;6.6;4.95;4.15;5.92;5.28;121;niet geselecteerd
10304;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & techniek;6.9;3.6;3.1;1.9;2.65;333;niet geselecteerd
10305;;2021;B Gezondheidswetenschappen;DEMO;man;19;Nederland;vwo profiel cultuur & maatschappij;7.1;3.25;2.85;3.35;3.22;316;niet geselecteerd
10306;10306.0;2021;B Gezondheidswetenschappen;DEMO;anders;20;Nederland;vwo profiel economie & maatschappij;6.4;7.35;5.55;7.5;7.06;15;geselecteerd
10307;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel natuur & gezondheid;7.8;4.1;4.95;3.75;4.1;250;niet geselecteerd
10308;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel cultuur & maatschappij;5.7;3.45;4.55;3.73;3.81;281;niet geselecteerd
10309;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;overig niet-westers;vwo profiel natuur & gezondheid;8.4;3.2;3.1;4.13;3.64;295;niet geselecteerd
10310;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel economie & maatschappij;6.7;3.55;2.7;2.65;2.93;323;niet geselecteerd
10311;;2021;B Gezondheidswetenschappen;DEMO;vrouw;17;Nederland;vwo profiel natuur & gezondheid;8.4;5.05;5.85;5.05;5.21;131;niet geselecteerd
10312;;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel natuur & techniek;8.3;4.65;4.25;4.4;4.44;216;niet geselecteerd
10313;10313.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Marokko;vwo profiel cultuur & maatschappij;8.0;5.75;5.7;5.6;5.66;85;geselecteerd
10314;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Suriname/Antillen;vwo profiel natuur & gezondheid;7.2;1.55;1.25;1.27;1.35;341;niet geselecteerd
10315;10315.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel economie & maatschappij;7.2;5.65;6.1;6.1;5.96;62;geselecteerd
10316;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;6.5;4.05;4.6;3.85;4.06;252;niet geselecteerd
10317;10317.0;2021;B Gezondheidswetenschappen;DEMO;man;17;Suriname/Antillen;vwo profiel natuur & gezondheid;7.3;7.55;6.05;7.25;7.1;12;geselecteerd
10318;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & gezondheid;7.2;2.0;4.15;2.93;2.9;325;niet geselecteerd
10319;;2021;B Gezondheidswetenschappen;DEMO;vrouw;21;Nederland;vwo profiel natuur & gezondheid;6.0;5.75;5.35;4.73;5.16;134;niet geselecteerd
10320;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel cultuur & maatschappij;6.4;3.7;3.15;4.05;3.76;285;niet geselecteerd
10321;;2021;B Gezondheidswetenschappen;DEMO;man;19;overig niet-westers;vwo profiel cultuur & maatschappij;7.7;3.75;3.95;3.38;3.6;297;niet geselecteerd
10322;;2021;B Gezondheidswetenschappen;DEMO;vrouw;20;Nederland;vwo profiel cultuur & maatschappij;6.2;5.05;4.55;5.03;4.94;164;niet geselecteerd
10323;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel natuur & techniek;7.7;4.8;6.05;4.45;4.88;169;niet geselecteerd
10324;;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;overig niet-westers;vwo profiel natuur & techniek;7.1;2.65;2.95;2.57;2.67;332;niet geselecteerd
10325;;2021;B Gezondheidswetenschappen;DEMO;vrouw;18;Nederland;vwo profiel natuur & gezondheid;7.1;4.55;4.3;4.52;4.49;209;niet geselecteerd
10326;10326.0;2021;B Gezondheidswetenschappen;DEMO;vrouw;19;Nederland;vwo profiel cultuur & maatschappij;6.0;8.05;7.7;8.53;8.22;2;geselecteerd
