studentnummer;selectiejaar;opleiding;instellingscode;groep;geslacht;herkomst;hoogste_vooropleiding;gem_eindcijfer_vo;instroom_type
10291;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10292;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10293;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10294;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10295;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;westerse achtergrond;vwo profiel economie & maatschappij;6.7;tussenjaar
10296;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;man;overig niet-westers;vwo profiel cultuur & maatschappij;7.1;direct
10297;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;overig niet-westers;vwo profiel natuur & gezondheid;7.1;tussenjaar
10298;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10299;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;8.5;direct
10300;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10301;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10302;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10303;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10304;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10305;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10306;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10307;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10308;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10309;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10310;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10311;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10312;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10313;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Marokko;vwo profiel cultuur & maatschappij;8.0;direct
10314;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10315;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel economie & maatschappij;7.2;tussenjaar
10316;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10317;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Suriname/Antillen;vwo profiel natuur & gezondheid;7.3;tussenjaar
10318;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10319;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10320;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10321;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10322;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10323;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10324;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10325;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10326;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;6.0;direct
10327;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10328;2021;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;man;westerse achtergrond;vwo profiel natuur & techniek;7.5;direct
10329;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10330;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10331;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;6.8;tussenjaar
10332;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10333;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10334;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10335;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10336;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10337;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10338;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10339;2021;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;westerse achtergrond;vwo profiel natuur & techniek;6.6;direct
10340;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10341;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10342;2021;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10343;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10344;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10345;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10346;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10347;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;westerse achtergrond;vwo profiel cultuur & maatschappij;6.7;direct
10348;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10349;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10350;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10351;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & techniek;7.0;tussenjaar
10352;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10353;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10354;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10355;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;man;Nederland;vwo profiel natuur & gezondheid;7.8;direct
10356;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10357;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;7.7;tussenjaar
10358;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10359;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;westerse achtergrond;anders;6.8;direct
10360;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10361;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10362;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10363;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10364;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10365;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;westerse achtergrond;vwo profiel natuur & techniek;8.0;direct
10366;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10367;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.2;direct
10368;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10369;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10370;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Marokko;vwo profiel cultuur & maatschappij;7.5;direct
10371;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10372;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10373;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Suriname/Antillen;hbo-propedeuse;6.1;switcher
10374;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10375;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.0;direct
10376;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10377;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10378;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;westerse achtergrond;hbo-propedeuse;7.2;switcher
10379;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10380;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10381;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.0;direct
10382;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10383;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10384;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10385;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10386;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel natuur & gezondheid;8.0;direct
10387;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10388;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10389;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10390;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & techniek;7.4;direct
10391;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10392;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10393;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10394;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10395;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10396;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10397;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;hbo-propedeuse;5.3;switcher
10398;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10399;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10400;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10401;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10402;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;anders;6.9;direct
10403;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10404;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10405;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10406;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10407;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10408;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10409;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Marokko;vwo profiel natuur & techniek;6.9;direct
10410;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel natuur & gezondheid;7.1;direct
10411;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10412;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10413;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10414;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10415;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;westerse achtergrond;vwo profiel cultuur & maatschappij;7.3;direct
10416;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10417;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10418;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Turkije;hbo-propedeuse;6.0;switcher
10419;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10420;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10421;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10422;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10423;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10424;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10425;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10426;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;6.5;direct
10427;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10428;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10429;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10430;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10431;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10432;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10433;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel natuur & techniek;5.5;direct
10434;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10435;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Turkije;vwo profiel natuur & gezondheid;7.4;tussenjaar
10436;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;westerse achtergrond;vwo profiel cultuur & maatschappij;6.1;tussenjaar
10437;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & techniek;7.6;direct
10438;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10439;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10440;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10441;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10442;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10443;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10444;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10445;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10446;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10447;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel natuur & gezondheid;6.7;tussenjaar
10448;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10449;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10450;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;anders;westerse achtergrond;vwo profiel natuur & gezondheid;5.6;tussenjaar
10451;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10452;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & techniek;6.6;tussenjaar
10453;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Suriname/Antillen;vwo profiel natuur & gezondheid;7.1;tussenjaar
10454;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;8.0;direct
10455;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10456;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10457;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10458;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10459;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;7.1;direct
10460;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10461;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;7.0;tussenjaar
10462;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel cultuur & maatschappij;7.4;direct
10463;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel natuur & gezondheid;6.6;direct
10464;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10465;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10466;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & techniek;7.6;tussenjaar
10467;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10468;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10469;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10470;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10471;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;westerse achtergrond;vwo profiel cultuur & maatschappij;7.3;direct
10472;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10473;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10474;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.1;tussenjaar
10475;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10476;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10477;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10478;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;6.8;direct
10479;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10480;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10481;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;hbo-propedeuse;7.6;switcher
10482;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.0;direct
10483;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10484;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel natuur & gezondheid;6.6;direct
10485;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10486;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10487;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10488;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10489;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10490;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10491;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;overig niet-westers;vwo profiel economie & maatschappij;5.9;direct
10492;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Suriname/Antillen;vwo profiel cultuur & maatschappij;7.5;tussenjaar
10493;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10494;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel economie & maatschappij;6.2;direct
10495;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10496;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;hbo-propedeuse;6.8;switcher
10497;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;anders;Nederland;vwo profiel cultuur & maatschappij;6.7;direct
10498;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;6.3;tussenjaar
10499;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10500;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10501;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10502;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10503;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10504;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10505;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel economie & maatschappij;7.1;direct
10506;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10507;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10508;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10509;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10510;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10511;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10512;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10513;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10514;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10515;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;6.9;direct
10516;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10517;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10518;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;hbo-propedeuse;5.3;switcher
10519;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10520;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10521;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10522;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;overig niet-westers;hbo-propedeuse;7.4;switcher
10523;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel natuur & techniek;7.2;direct
10524;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;6.1;tussenjaar
10525;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10526;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10527;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10528;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;8.0;tussenjaar
10529;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10530;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10531;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10532;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10533;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10534;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10535;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10536;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10537;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10538;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;6.5;direct
10539;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10540;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10541;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.1;tussenjaar
10542;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10543;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10544;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10545;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10546;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10547;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10548;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel economie & maatschappij;8.2;tussenjaar
10549;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;hbo-propedeuse;6.2;switcher
10550;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10551;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10552;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;Nederland;vwo profiel economie & maatschappij;7.3;tussenjaar
10553;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10554;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10555;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10556;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10557;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10558;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10559;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10560;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel economie & maatschappij;7.1;direct
10561;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10562;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10563;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel cultuur & maatschappij;7.1;direct
10564;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10565;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10566;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10567;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;man;overig niet-westers;vwo profiel economie & maatschappij;7.2;tussenjaar
10568;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Marokko;vwo profiel natuur & techniek;7.1;direct
10569;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10570;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10571;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;man;westerse achtergrond;vwo profiel cultuur & maatschappij;6.3;direct
10572;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10573;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10574;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10575;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10576;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10577;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;man;Nederland;hbo-propedeuse;5.0;switcher
10578;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10579;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10580;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10581;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10582;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10583;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10584;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10585;2022;B Gezondheidswetenschappen;DEMO;Gestart, niet naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.3;direct
10586;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10587;2022;B Gezondheidswetenschappen;DEMO;Niet gestart;;;;;
10588;2022;B Gezondheidswetenschappen;DEMO;Doorgestroomd naar jaar 2;vrouw;Nederland;vwo profiel natuur & gezondheid;7.4;direct
